datadate,year,tic,conm,cik,conml
31dec2009,2009,"AUMN","GOLDEN MINERALS CO","0001011509","Golden Minerals Co"
31dec2016,2016,"NXPI","NXP SEMICONDUCTORS NV","0001413447","NXP Semiconductors NV"
30sep2001,2001,"JJZ","JACUZZI BRANDS INC","0001056874","Jacuzzi Brands Inc"
31dec2013,2013,"WF","WOORI FINANCIAL GROUP INC","0001264136","Woori Financial Group Inc"
31aug2014,2014,"MON.1","MONSANTO CO","0001110783","Monsanto Co"
31dec2013,2013,"SBAC","SBA COMMUNICATIONS CORP","0001034054","SBA Communications Corp"
31dec2013,2013,"INFA.1","INFORMATICA CORP","0001080099","Informatica Corp"
31dec2015,2015,"LLL.1","L3 TECHNOLOGIES INC","0001039101","L3 Technologies Inc"
31dec2012,2012,"CYS","CYS INVESTMENTS INC","0001396446","CYS Investments Inc"
31dec2015,2015,"IMH","IMPAC MORTGAGE HOLDINGS INC","0001000298","Impac Mortgage Holdings Inc."
31dec2004,2004,"MXO","MAXTOR CORP","0000711039","Maxtor Corp"
31mar2007,2006,"NMR","NOMURA HOLDINGS INC","0001163653","Nomura Holdings Inc"
31dec2015,2015,"WNRL","WESTERN REFINING LGS LP","0001581908","Western Refining Logistics LP"
31dec2003,2003,"CIN3","DUKE ENERGY INDIANA INC","0000081020","Duke Energy Indiana Inc"
31jul2013,2013,"ASNAQ","ASCENA RETAIL GROUP INC","0001498301","Ascena Retail Group Inc"
31mar2012,2011,"TLKGY","TELKOM SA SOC LTD","0001214299","Telkom SA SOC Ltd"
31jan2011,2010,"ANF","ABERCROMBIE & FITCH  -CL A","0001018840","Abercrombie & Fitch Co."
31jan2006,2005,"CRM","SALESFORCE.COM INC","0001108524","salesforce.com Inc"
31dec2012,2012,"FWLT","FOSTER WHEELER AG","0001130385","Foster Wheeler AG"
31dec2008,2008,"YZCAY","YANZHOU COAL MINING CO LTD","0001048098","Yanzhou Coal Mining Co Ltd"
31may2016,2015,"NKE","NIKE INC  -CL B","0000320187","Nike Inc"
31dec2008,2008,"BAP","CREDICORP LTD","0001001290","Credicorp Ltd"
31jul2009,2009,"THO","THOR INDUSTRIES INC","0000730263","Thor Industries Inc."
31dec2006,2006,"PXT.1","PXRE GROUP LTD","","PXRE Group Ltd"
31dec2015,2015,"PYPL","PAYPAL HOLDINGS INC","0001633917","PayPal Holdings Inc"
31jan2015,2014,"LDOS","LEIDOS HOLDINGS INC","0001336920","Leidos Holdings Inc"
31dec2003,2003,"BOBJY","BUSINESS OBJECTS SA","0000928753","Business Objects SA"
31dec2006,2006,"9769B","AMERICAN FAMILY INS GROUP","0001044906","American Family Insurance Group"
31dec2004,2004,"UPS","UNITED PARCEL SERVICE INC","0001090727","United Parcel Service Inc"
31dec2009,2009,"ANSS","ANSYS INC","0001013462","ANSYS Inc"
31dec2015,2015,"FTI.1","FMC TECHNOLOGIES INC","0001135152","FMC Technologies Inc"
31dec2010,2010,"TRI","THOMSON-REUTERS CORP","0001075124","Thomson Reuters Corp"
31dec2016,2016,"EXTN","EXTERRAN CORP","0001635881","Exterran Corp"
31dec2015,2015,"TMO","THERMO FISHER SCIENTIFIC INC","0000097745","Thermo Fisher Scientific Inc"
30jun2002,2002,"SUG","SOUTHERN UNION CO","0000203248","Southern Union Co"
31dec2016,2016,"YNDX","YANDEX N.V.","0001513845","Yandex NV"
31jan2005,2004,"DDC","DOMINION DIAMOND CORP","0000841071","Dominion Diamond Corp"
31dec2005,2005,"BMA","BANCO MACRO SA","0001347426","Banco Macro SA"
31dec2003,2003,"ABB","ABB LTD","0001091587","ABB Ltd"
31dec2007,2007,"LFGRQ","LANDAMERICA FINANCIAL GP","0000877355","LandAmerica Financial Group Inc."
31dec2015,2015,"PDLI","PDL BIOPHARMA INC","0000882104","PDL BioPharma Inc"
31dec2016,2016,"MLNX","MELLANOX TECHNOLOGIES LTD","0001356104","Mellanox Technologies Ltd"
31dec2004,2004,"HNT","HEALTH NET INC","0000916085","Health Net Inc."
31dec2003,2003,"MGM.2","METRO GOLDWYN MAYER INC","0001026816","Metro-Goldwyn-Mayer Inc."
31dec2013,2013,"8550B","DELTA TUCKER HOLDINGS INC","0001514226","Delta Tucker Holdings Inc"
31dec2008,2008,"UNTD","UNITED ONLINE INC","0001142701","United Online Inc"
31dec2005,2005,"SCMWY","SWISSCOM AG","0001069336","Swisscom AG, Ittigen"
31dec2009,2009,"MEOH","METHANEX CORP","0000886977","Methanex Corp"
31dec2004,2004,"TRW","TRW AUTOMOTIVE HOLDINGS CORP","0001267097","TRW Automotive Holdings Corp"
31dec2008,2008,"MCY","MERCURY GENERAL CORP","0000064996","Mercury General Corp"
31dec2016,2016,"FE5","FIRSTENERGY SOLUTIONS CORP","0001407703","FirstEnergy Solutions Corp"
30sep2010,2010,"FFIV","F5 NETWORKS INC","0001048695","F5 Networks Inc"
31dec2007,2007,"NOC","NORTHROP GRUMMAN CORP","0001133421","Northrop Grumman Corp"
31dec2013,2013,"BCEI","BONANZA CREEK ENERGY INC","0001509589","Bonanza Creek Energy Inc"
31dec2012,2012,"WLL","WHITING PETROLEUM CORP","0001255474","Whiting Petroleum Corp"
31dec2003,2003,"SAH","SONIC AUTOMOTIVE INC  -CL A","0001043509","Sonic Automotive Inc."
31dec2004,2004,"FNF","FIDELITY NATL FINL FNF GROUP","0001331875","Fidelity National Financial Inc FNF Group"
31dec2002,2002,"DAN","DANA INC","0000026780","Dana Inc"
31dec2004,2004,"IFIN","INVESTORS FINANCIAL SVCS CP","0000949589","Investors Financial Services Corp"
31dec2007,2007,"CAJ","CANON INC","0000016988","Canon Inc"
31dec2009,2009,"NE","NOBLE CORPORATION","0001458891","Noble Corporation"
31dec2015,2015,"AUOTY","AU OPTRONICS CORP","0001172494","Au Optronics Corp"
31dec2012,2012,"EIX2","EDISON MISSION ENERGY","0000930835","Edison Mission Energy"
31dec2012,2012,"MCO","MOODY'S CORP","0001059556","Moody's Corp."
31dec2007,2007,"CCI","CROWN CASTLE INTL CORP","0001051470","Crown Castle International Corp"
31dec2002,2002,"HON","HONEYWELL INTERNATIONAL INC","0000773840","Honeywell International Inc"
31dec2004,2004,"LEA","LEAR CORP","0000842162","Lear Corp"
31dec2004,2004,"KKPNY","KONINKLIJKE KPN NV","0001001474","Koninklijke Kpn NV"
31dec2015,2015,"AGO","ASSURED GUARANTY LTD","0001273813","Assured Guaranty Ltd"
31mar2010,2009,"HDB","HDFC BANK LTD","0001144967","H D F C Bank Ltd"
31dec2006,2006,"GAS.2","NICOR INC","0000072020","Nicor Inc."
31jan2005,2004,"KGFHY","KINGFISHER PLC","0000801687","Kingfisher PLC"
31dec2013,2013,"AA.3","ALCOA INC","","Alcoa Inc"
31dec2006,2006,"SAH","SONIC AUTOMOTIVE INC  -CL A","0001043509","Sonic Automotive Inc."
31dec2016,2016,"TXN","TEXAS INSTRUMENTS INC","0000097476","Texas Instruments Inc"
31dec2008,2008,"ROSE.3","ROSETTA RESOURCES INC","0001340282","Rosetta Resources Inc"
31dec2002,2002,"JMHLY","JARDINE MATHESON HLDGS LTD","0000870016","Jardine Matheson Holdings Ltd"
31dec2012,2012,"GSIH","GENERAL STEEL HOLDINGS INC","0001239188","General Steel Holdings Inc"
31dec2007,2007,"MRX","MEDICIS PHARMACEUT CP  -CL A","0000859368","Medicis Pharmaceutical Corp"
31dec2005,2005,"MMC","MARSH & MCLENNAN COS","0000062709","Marsh & McLennan Companies Inc"
31dec2014,2014,"PDLI","PDL BIOPHARMA INC","0000882104","PDL BioPharma Inc"
31dec2015,2015,"DPS","DR PEPPER SNAPPLE GROUP INC","","Dr Pepper Snapple Group Inc"
31dec2008,2008,"FIG","FORTRESS INVESTMENT GRP LLC","0001380393","Fortress Investment Group LLC"
31dec2016,2016,"NOW","SERVICENOW INC","0001373715","ServiceNow Inc"
31dec2007,2007,"JNPR","JUNIPER NETWORKS INC","0001043604","Juniper Networks Inc"
31mar2003,2002,"ABOYY","ALLIANCE BOOTS PLC","0001214837","Alliance Boots PLC"
31dec2005,2005,"SCRYY","SCOR SE","0001023027","Scor SE"
31dec2009,2009,"FWLT","FOSTER WHEELER AG","0001130385","Foster Wheeler AG"
31dec2012,2012,"NRG","NRG ENERGY INC","0001013871","NRG Energy Inc"
30sep2009,2009,"NJR","NEW JERSEY RESOURCES CORP","0000356309","New Jersey Resources Corp"
30jun2011,2011,"SYY","SYSCO CORP","0000096021","Sysco Corporation"
31dec2015,2015,"BUD","ANHEUSER-BUSCH INBEV","0001668717","Anheuser-Busch InBev SA/NV"
31dec2007,2007,"USG","USG CORP","0000757011","USG Corp"
31dec2011,2011,"GNW","GENWORTH FINANCIAL INC","0001276520","Genworth Financial Inc"
31dec2007,2007,"GNW","GENWORTH FINANCIAL INC","0001276520","Genworth Financial Inc"
31dec2006,2006,"DRIV.1","DIGITAL RIVER INC","0001062530","Digital River Inc"
31dec2010,2010,"MMC","MARSH & MCLENNAN COS","0000062709","Marsh & McLennan Companies Inc"
31dec2010,2010,"BCH","BANCO DE CHILE","0001161125","Banco De Chile"
31dec2006,2006,"TUP","TUPPERWARE BRANDS CORP","0001008654","Tupperware Brands Corp"
30nov2003,2003,"CLHI","CLST HOLDINGS INC","0000913590","CLST Holdings Inc"
31dec2014,2014,"ANSS","ANSYS INC","0001013462","ANSYS Inc"
31dec2007,2007,"LBTYK","LIBERTY GLOBAL PLC","0001570585","Liberty Global Plc"
31dec2004,2004,"WPC","W P CAREY INC","0001025378","W. P. Carey Inc"
31jan2012,2011,"PVH","PVH CORP","0000078239","PVH Corp"
31oct2006,2006,"DE1","DEERE (JOHN) CAPITAL CORP","0000027673","Deere (John) Capital Corp"
31dec2013,2013,"QLIK","QLIK TECHNOLOGIES INC","0001305294","Qlik Technologies Inc"
31dec2010,2010,"WTM","WHITE MTNS INS GROUP LTD","0000776867","White Mountains Insurance Group Ltd"
31dec2004,2004,"PRDO","PERDOCEO EDUCATION CORP","0001046568","Perdoceo Education Corp"
31dec2003,2003,"SNN","SMITH & NEPHEW PLC","0000845982","Smith & Nephew PLC"
31dec2004,2004,"SPXC","SPX CORP","0000088205","SPX Corp"
31dec2010,2010,"AIZ","ASSURANT INC","0001267238","Assurant Inc."
31dec2013,2013,"KBR","KBR INC","0001357615","KBR Inc"
31dec2016,2016,"PBCT","PEOPLE'S UNITED FINL INC","0001378946","People's United Financial Inc"
31dec2006,2006,"STD2","SANTANDER HOLDINGS USA INC","0000811830","Santander Holdings USA Inc"
31dec2013,2013,"EOCCY","ENEL GENERACION CHILE SA","0000926864","Enel Generacion Chile SA"
31dec2015,2015,"BXLT","BAXALTA INC","0001620546","Baxalta Inc"
31dec2008,2008,"NIHD","NII HOLDINGS INC","0001037016","NII Holdings Inc"
31may2010,2009,"MOS","MOSAIC CO","0001285785","Mosaic Company (The)"
31dec2015,2015,"FTNT","FORTINET INC","0001262039","Fortinet Inc"
31dec2007,2007,"CB.1","CHUBB CORP","0000020171","Chubb Corp"
31dec2012,2012,"AKAM","AKAMAI TECHNOLOGIES INC","0001086222","Akamai Technologies Inc"
31dec2012,2012,"EIX","EDISON INTERNATIONAL","0000827052","Edison International"
31jul2007,2007,"INTU","INTUIT INC","0000896878","Intuit Inc."
31dec2011,2011,"GPT","GRAMERCY PROPERTY TRUST","0001297587","Gramercy Property Trust"
31dec2002,2002,"IBM","INTL BUSINESS MACHINES CORP","0000051143","International Business Machines Corp"
31dec2006,2006,"CNH","CNH GLOBAL NV","0001024519","CNH Global NV"
31dec2014,2014,"PEP","PEPSICO INC","0000077476","PepsiCo Inc"
30nov2009,2009,"LEN","LENNAR CORP","0000920760","Lennar Corp"
31dec2001,2001,"PRS.3","PURE RESOURCES INC","","Pure Resources Inc"
31dec2013,2013,"BTU","PEABODY ENERGY CORP","0001064728","Peabody Energy Corp"
31dec2011,2011,"DUK9","DUKE ENERGY FLORIDA INC","0000037637","Duke Energy Florida Inc"
31dec2009,2009,"SHG","SHINHAN FINANCIAL GROUP LTD","0001263043","Shinhan Financial Group Co Ltd"
31dec2005,2005,"CYTC","CYTYC CORP","0000849778","Cytyc Corp"
31dec2003,2003,"PRDO","PERDOCEO EDUCATION CORP","0001046568","Perdoceo Education Corp"
31dec2011,2011,"SYK","STRYKER CORP","0000310764","Stryker Corp"
30sep2002,2002,"IMBBY","IMPERIAL BRANDS PLC","0001072670","Imperial Brands PLC"
31dec2014,2014,"XEC","CIMAREX ENERGY CO","0001168054","Cimarex Energy Co."
31dec2006,2006,"0944B","BOISE CASCADE HOLDINGS LLC","0001317436","Boise Cascade Holdings LLC"
31dec2012,2012,"RDN","RADIAN GROUP INC","0000890926","Radian Group Inc"
31dec2013,2013,"ENBL","ENABLE MIDSTREAM PARTNERS LP","0001591763","Enable Midstream Partners LP"
31dec2013,2013,"TRLA.2","TRULIA INC","0001349454","Trulia Inc"
31dec2016,2016,"MDXG","MIMEDX GROUP INC","0001376339","MiMedx Group Inc"
31oct2010,2010,"ADI","ANALOG DEVICES","0000006281","Analog Devices Inc"
31dec2016,2016,"CYH","COMMUNITY HEALTH SYSTEMS INC","0001108109","Community Health Systems Inc"
31dec2006,2006,"GG","GOLDCORP INC","0000919239","Goldcorp Inc."
31dec2014,2014,"BANC","BANC OF CALIFORNIA INC","0001169770","Banc of California Inc"
31dec2016,2016,"SBCF","SEACOAST BANKING CORP/FL","0000730708","Seacoast Banking Corp of Florida"
31dec2002,2002,"AEP14","AEP TEXAS NORTH CO","0000105860","AEP Texas North Co"
31dec2009,2009,"SSCC.","SMURFIT-STONE CONTAINER CORP","0000094610","Smurfit-Stone Container Corp"
31dec2006,2006,"GAS1","NORTHERN ILLINOIS GAS","0000110104","Northern Illinois Gas"
31dec2007,2007,"LCC","US AIRWAYS GROUP INC","0000701345","US Airways Group Inc"
31dec2010,2010,"DASTY","DASSAULT SYSTEMS SA","0001016118","Dassault Systemes SA"
31dec2012,2012,"ETR","ENTERGY CORP","0000065984","Entergy Corp."
31dec2016,2016,"MDLZ","MONDELEZ INTERNATIONAL INC","0001103982","Mondelez International Inc"
31dec2006,2006,"PEG1","PUBLIC SERVICE ELEC & GAS CO","0000081033","Public Service Electric & Gas Co"
31dec2003,2003,"MWW","MONSTER WORLDWIDE INC","0001020416","Monster Worldwide Inc."
31mar2013,2012,"ALSMY","ALSTOM SA","0001062066","Alstom"
31dec2008,2008,"MTH","MERITAGE HOMES CORP","0000833079","Meritage Homes Corp"
31dec2014,2014,"SBNY","SIGNATURE BANK/NY","0001288784","Signature Bank"
31dec2011,2011,"QLIK","QLIK TECHNOLOGIES INC","0001305294","Qlik Technologies Inc"
31jan2010,2009,"MENT","MENTOR GRAPHICS CORP","0000701811","Mentor Graphics Corp"
31dec2014,2014,"OZK","BANK OZK","0001569650","Bank OZK"
31dec2012,2012,"SOHU","SOHU COM LTD","0001734107","Sohu.com Ltd"
31dec2015,2015,"CZR.3","CAESARS ENTERTAINMENT CORP","0000858339","Caesars Entertainment Corp"
31dec2005,2005,"VRSN","VERISIGN INC","0001014473","Verisign Inc"
31dec2016,2016,"VRSN","VERISIGN INC","0001014473","Verisign Inc"
31dec2013,2013,"DEG","DELHAIZE GROUP - ETS DLHZ FR","0000930309","Etablissements Delhaize Freres Et Cie Le Lion - Groupe Delhaize Sa, Bruxelles"
31dec2001,2001,"MT","ARCELORMITTAL","0001243429","Arcelormittal SA"
31dec2004,2004,"NEWCQ","NEW CENTURY FINANCIAL CORP","0001287286","New Century Financial Corp"
31dec2012,2012,"BBAR","BANCO BBVA ARGENTINA SA","0000913059","Banco BBVA Argentina SA"
30sep2006,2006,"MTOR","MERITOR INC","0001113256","Meritor Inc"
31dec2002,2002,"YELL","YELLOW CORP","0000716006","Yellow Corp"
31dec2014,2014,"XL.1","XL GROUP LTD","0000875159","XL Group Ltd"
30jun2006,2006,"SYY","SYSCO CORP","0000096021","Sysco Corporation"
31dec2003,2003,"AVNT","AVIENT CORP","0001122976","Avient Corp"
31dec2006,2006,"3WCPSF","WORLD COLOR PRESS INC","0001003470","World Color Press Inc"
31dec2016,2016,"FFIN","FIRST FINL BANKSHARES INC","0000036029","First Financial Bankshares Inc"
31dec2014,2014,"ITUB","ITAU UNIBANCO HLDG SA","0001132597","Itau Unibanco Holding SA"
31dec2005,2005,"IBOC","INTL BANCSHARES CORP","0000315709","International Bancshares Corp"
31dec2002,2002,"AVP","AVON PRODUCTS","0000008868","Avon Products Inc."
31dec2016,2016,"PNR","PENTAIR PLC","0000077360","Pentair plc"
31dec2012,2012,"OCN","OCWEN FINANCIAL CORP","0000873860","Ocwen Financial Corp"
31dec2016,2016,"CVRR","CVR REFINING LP","0001558785","CVR Refining LP"
31dec2007,2007,"NWA","NORTHWEST AIRLINES CORP","0001058033","Northwest Airlines Corp"
31dec2006,2006,"RRC","RANGE RESOURCES CORP","0000315852","Range Resources Corp."
31dec2014,2014,"TMO","THERMO FISHER SCIENTIFIC INC","0000097745","Thermo Fisher Scientific Inc"
31dec2016,2016,"PEG3","PSEG POWER LLC","0001158659","PSEG Power LLC"
31dec2006,2006,"WLTGQ","WALTER ENERGY INC","0000837173","Walter Energy Inc"
31jan2012,2011,"LOW","LOWE'S COS INC","0000060667","Lowe's Cos Inc"
31mar2005,2004,"KYOCY","KYOCERA CORP","0000057083","Kyocera Corp"
31dec2015,2015,"GLBL.2","TERRAFORM GLOBAL INC","0001620702","TerraForm Global Inc"
31dec2012,2012,"YELP","YELP INC","0001345016","Yelp Inc"
31mar2016,2015,"CPRI","CAPRI HOLDINGS LTD","0001530721","Capri Holdings Ltd"
31dec2005,2005,"BOKF","BOK FINANCIAL CORP","0000875357","BOK Financial Corp"
30sep2003,2003,"DIS","DISNEY (WALT) CO","0001744489","Walt Disney Co (The)"
31dec2005,2005,"AMBC","AMBAC FINANCIAL GROUP INC","0000874501","Ambac Financial Group Inc"
31dec2003,2003,"FRO.2","FRONTLINE LTD-OLD","","Frontline Ltd-Old"
31dec2001,2001,"LYO","LYONDELL CHEMICAL CO","0000842635","Lyondell Chemical Co"
31jul2004,2004,"SSAG","SSA GLOBAL TECHNOLOGIES","0001205431","SSA Global Technologies Inc"
31dec2009,2009,"AGCO","AGCO CORP","0000880266","AGCO Corp"
31dec2008,2008,"QGEN","QIAGEN NV","0001015820","Qiagen NV"
31dec2001,2001,"ERIC","TELEFONAKTIEBOLAGET LM ERICS","0000717826","Telefonaktiebolaget LM Ericsson"
31dec2012,2012,"CLS","CELESTICA INC","0001030894","Celestica Inc"
31dec2006,2006,"RE","EVEREST RE GROUP LTD","0001095073","Everest Re Group Ltd"
31dec2003,2003,"CCK","CROWN HOLDINGS INC","0001219601","Crown Holdings Inc"
31dec2015,2015,"0270B","LAND O'LAKES INC","0001032562","Land O'Lakes Inc."
31dec2006,2006,"WPC","W P CAREY INC","0001025378","W. P. Carey Inc"
31dec2011,2011,"PRE","PARTNERRE LTD","0000911421","PartnerRe Ltd"
31dec2015,2015,"BXMT","BLACKSTONE MORTGAGE TR INC","0001061630","Blackstone Mortgage Trust Inc"
31dec2008,2008,"HPR","HIGHPOINT RESOURCES CORP","0001725526","HighPoint Resources Corp"
31dec2016,2016,"SUBCY","SUBSEA 7 SA","0000898685","Subsea 7 S.A."
31mar2011,2010,"MCHP","MICROCHIP TECHNOLOGY INC","0000827054","Microchip Technology Inc"
31dec2003,2003,"HA","HAWAIIAN HOLDINGS INC","0001172222","Hawaiian Holdings Inc"
31dec2005,2005,"LUMCQ","LUMINENT MORTGAGE CAPITAL","0001236309","Luminent Mortgage Capital Inc."
31dec2011,2011,"HLTOY","OTE - HELLENIC TELECOM ORG","0001071672","Hellenic Telecommunications Organizations OTE"
31dec2007,2007,"MTCH","MATCH GROUP INC","0000891103","Match Group Inc"
31dec2012,2012,"KYAK","KAYAK SOFTWARE CORP","0001312928","KAYAK Software Corp"
30sep2007,2007,"ABC","AMERISOURCEBERGEN CORP","0001140859","AmerisourceBergen Corp"
31dec2011,2011,"SM","SM ENERGY CO","0000893538","SM Energy Co"
31dec2008,2008,"ALR","ALERE INC","0001145460","Alere Inc"
31dec2002,2002,"0139A","SUNGARD DATA SYSTEMS INC","0000789388","SunGard Data Systems Inc."
31dec2002,2002,"SRE2","SOUTHERN CALIFORNIA GAS CO","0000092108","Southern California Gas Co"
31dec2015,2015,"WTKWY","WOLTERS KLUWER NV","0000861967","Wolters Kluwer NV"
31dec2009,2009,"ETN","EATON CORP PLC","0001551182","Eaton Corp Plc"
31dec2009,2009,"TWC","TIME WARNER CABLE INC","0001377013","Time Warner Cable Inc"
31dec2002,2002,"SRE1","PACIFIC ENTERPRISES INC","0000075527","Pacific Enterprises Inc"
31dec2016,2016,"SFNC","SIMMONS FIRST NATL CP  -CL A","0000090498","Simmons First National Corp"
30sep2004,2004,"MTOR","MERITOR INC","0001113256","Meritor Inc"
31dec2010,2010,"NEE","NEXTERA ENERGY INC","0000753308","NextEra Energy Inc"
30apr2016,2015,"BKS","BARNES & NOBLE INC","0000890491","Barnes & Noble Inc"
31dec2007,2007,"BHP1","PETROHAWK ENERGY CORP","0001059324","Petrohawk Energy Corp"
31may2002,2001,"5938B","BIOMET INC","0000351346","Biomet Inc"
31dec2001,2001,"HON","HONEYWELL INTERNATIONAL INC","0000773840","Honeywell International Inc"
31dec2002,2002,"SWY","SAFEWAY INC","0000086144","Safeway Inc"
30sep2010,2010,"MTOR","MERITOR INC","0001113256","Meritor Inc"
31dec2005,2005,"KORIY","KOOR INDUSTRIES LTD","0000791531","Koor Industries Ltd"
31dec2016,2016,"IP","INTL PAPER CO","0000051434","International Paper Co"
31dec2004,2004,"SAFE.2","SAFENET HOLDING CORP-REDH","0001494037","SafeNet Inc"
30jun2014,2014,"AMCR","AMCOR PLC","0001748790","Amcor Plc"
31dec2013,2013,"TELNY","TELENOR ASA","0001126113","Telenor ASA"
31dec2010,2010,"TIGO","MILLICOM INTL CELLULAR SA","0000912958","Millicom International Cellular SA"
31dec2009,2009,"NFX","NEWFIELD EXPLORATION CO","0000912750","Newfield Exploration Co"
31dec2008,2008,"AKAM","AKAMAI TECHNOLOGIES INC","0001086222","Akamai Technologies Inc"
31dec2006,2006,"DFCLQ","DELTA FINANCIAL CORP","0001021848","Delta Financial Corp"
31jan2009,2008,"KGFHY","KINGFISHER PLC","0000801687","Kingfisher PLC"
31dec2005,2005,"SM","SM ENERGY CO","0000893538","SM Energy Co"
31dec2005,2005,"LEND.1","ACCREDITED HOME LENDERS HLDG","0001174735","Accredited Home Lenders Holding Co."
31dec2011,2011,"WEC3","INTEGRYS HOLDING INC","0000916863","Integrys Holding Inc"
31dec2009,2009,"UTSI","UTSTARCOM HOLDINGS CORP","0001030471","Utstarcom Holdings Corp"
31dec2015,2015,"EOCCY","ENEL GENERACION CHILE SA","0000926864","Enel Generacion Chile SA"
31dec2011,2011,"MFA","MFA FINANCIAL INC","0001055160","MFA Financial Inc"
31dec2013,2013,"AKAM","AKAMAI TECHNOLOGIES INC","0001086222","Akamai Technologies Inc"
31dec2015,2015,"WSBC","WESBANCO INC","0000203596","WesBanco Inc"
31dec2013,2013,"SNN","SMITH & NEPHEW PLC","0000845982","Smith & Nephew PLC"
31jan2016,2015,"WDAY","WORKDAY INC","0001327811","Workday Inc"
31dec2004,2004,"TKLC","TEKELEC","0000790705","Tekelec"
31dec2009,2009,"QGEN","QIAGEN NV","0001015820","Qiagen NV"
31jan2005,2004,"SRNA.1","SERENA SOFTWARE INC","0001073967","Serena Software Inc."
31dec2013,2013,"ATI","ALLEGHENY TECHNOLOGIES INC","0001018963","Allegheny Technologies Inc"
31dec2011,2011,"TEVA","TEVA PHARMACEUTICALS","0000818686","Teva Pharmaceutical Industries Ltd"
31dec2005,2005,"AN","AUTONATION INC","0000350698","AutoNation Inc"
31mar2014,2013,"NTDOY","NINTENDO CO LTD","0000852937","Nintendo Co Ltd"
30jun2001,2001,"ADP","AUTOMATIC DATA PROCESSING","0000008670","Automatic Data Processing Inc"
31dec2009,2009,"CE","CELANESE CORP","0001306830","Celanese Corp"
31dec2014,2014,"NTP","NAM TAI PROPERTY INC","0000829365","Nam Tai Property Inc"
31dec2010,2010,"PEG1","PUBLIC SERVICE ELEC & GAS CO","0000081033","Public Service Electric & Gas Co"
31dec2008,2008,"YELL","YELLOW CORP","0000716006","Yellow Corp"
30sep2013,2013,"AAPL","APPLE INC","0000320193","Apple Inc"
31jan2007,2006,"KR","KROGER CO","0000056873","Kroger Co. (The)"
31dec2016,2016,"SPGI","S&P GLOBAL INC","0000064040","S&P Global Inc"
31dec2014,2014,"ABB","ABB LTD","0001091587","ABB Ltd"
31dec2005,2005,"UTHR","UNITED THERAPEUTICS CORP","0001082554","United Therapeutics Corp"
31dec2008,2008,"DGI","DIGITALGLOBE INC","0001208208","DigitalGlobe Inc"
30jun2016,2016,"WDC","WESTERN DIGITAL CORP","0000106040","Western Digital Corp"
31dec2012,2012,"PKX","POSCO","0000889132","Posco"
31dec2006,2006,"ERIC","TELEFONAKTIEBOLAGET LM ERICS","0000717826","Telefonaktiebolaget LM Ericsson"
31dec2012,2012,"HNT","HEALTH NET INC","0000916085","Health Net Inc."
31dec2015,2015,"CUNB","CU BANCORP/CA","0001543643","CU Bancorp/CA"
31dec2016,2016,"CENX","CENTURY ALUMINUM CO","0000949157","Century Aluminum Co"
31dec2005,2005,"JEF","JEFFERIES FINANCIAL GRP INC","0000096223","Jefferies Financial Group Inc"
31dec2016,2016,"TCBI","TEXAS CAPITAL BANCSHARES INC","0001077428","Texas Capital Bancshares Inc"
31dec2006,2006,"OMX","OFFICEMAX INC","0000012978","OfficeMax Inc"
31jan2014,2013,"SAIC","SCIENCE APPLICATIONS INTL CP","0001571123","Science Applications International Corp"
31dec2001,2001,"MFE","MCAFEE INC","0000890801","McAfee Inc"
31dec2016,2016,"EFX","EQUIFAX INC","0000033185","Equifax Inc."
31dec2007,2007,"REXMY","REXAM PLC","0000013522","Rexam PLC"
31dec2015,2015,"UVSP","UNIVEST FINANCIAL CORP","0000102212","Univest Financial Corp"
31dec2008,2008,"STRZA","STARZ","0001507934","Starz"
31dec2006,2006,"FCX","FREEPORT-MCMORAN INC","0000831259","Freeport-McMoRan Inc"
31dec2015,2015,"STL","STERLING BANCORP","0001070154","Sterling Bancorp"
31dec2004,2004,"AAL","AMERICAN AIRLINES GROUP INC","0000006201","American Airlines Group Inc"
31dec2002,2002,"HLYW","HOLLYWOOD ENTERTAINMENT CORP","0000905895","Hollywood Entertainment Corp"
31dec2002,2002,"MSV.2","MANUFACTURERS SERVICES LTD","0000940298","Manufacturers Services Ltd"
31dec2013,2013,"NFX","NEWFIELD EXPLORATION CO","0000912750","Newfield Exploration Co"
31dec2012,2012,"ED","CONSOLIDATED EDISON INC","0001047862","Consolidated Edison Inc."
31dec2004,2004,"HCA","HCA HEALTHCARE INC","0000860730","HCA Healthcare Inc"
31mar2009,2008,"BMC","BMC SOFTWARE INC","0000835729","BMC Software Inc"
31dec2005,2005,"CLS","CELESTICA INC","0001030894","Celestica Inc"
31dec2014,2014,"MTCH.5","MATCH GROUP INC -OLD","0001575189","Match Group Inc -OLD"
31dec2002,2002,"GENZ","GENZYME CORP","0000732485","Genzyme Corp"
31dec2014,2014,"AFL","AFLAC INC","0000004977","AFLAC Inc"
31dec2001,2001,"AMR1","AMERICAN AIRLINES INC","0000004515","American Airlines Inc"
30apr2006,2005,"NTAP","NETAPP INC","0001002047","NetApp Inc"
31jan2005,2004,"1231B","TOYS R US INC","0001005414","Toys 'R' Us Inc"
31mar2007,2006,"FUJHY","SUBARU CORP","0000800364","Subaru Corp"
31oct2014,2014,"HPE","HEWLETT PACKARD ENTERPRISE","0001645590","Hewlett Packard Enterprise Co"
31dec2008,2008,"CRH","CRH PLC","0000849395","CRH PLC"
